start_date,end_date,day,status,discipline,discipline_code,event,event_medal,phase,gender,event_type,venue,venue_code,location,location_code,id
2026-02-12T09:05:00+01:00,2026-02-12T12:00:00+01:00,2026-02-12,FINISHED,Curling,CUR,Women,0,Women's Round Robin,W,TEAM,Cortina Curling Olympic Stadium,CCU,Cortina Curling Olympic Stadium- Sheet A,CUA,CURWTEAM4-------------PREL000101--
2026-02-12T09:05:00+01:00,2026-02-12T12:00:00+01:00,2026-02-12,FINISHED,Curling,CUR,Women,0,Women's Round Robin,W,TEAM,Cortina Curling Olympic Stadium,CCU,Cortina Curling Olympic Stadium- Sheet B,CUB,CURWTEAM4-------------PREL000102--
2026-02-12T09:05:00+01:00,2026-02-12T12:00:00+01:00,2026-02-12,FINISHED,Curling,CUR,Women,0,Women's Round Robin,W,TEAM,Cortina Curling Olympic Stadium,CCU,Cortina Curling Olympic Stadium- Sheet C,CUC,CURWTEAM4-------------PREL000103--
2026-02-12T09:05:00+01:00,2026-02-12T12:00:00+01:00,2026-02-12,FINISHED,Curling,CUR,Women,0,Women's Round Robin,W,TEAM,Cortina Curling Olympic Stadium,CCU,Cortina Curling Olympic Stadium- Sheet D,CUD,CURWTEAM4-------------PREL000104--
2026-02-12T09:30:00+01:00,2026-02-12T10:24:00+01:00,2026-02-12,FINISHED,Skeleton,SKN,Men,0,Men Competition,M,INDV,Cortina Sliding Centre,CSC,Cortina Sliding Centre,CSC,SKNMSINGLES-----------FNL-000100--
2026-02-12T10:00:00+01:00,2026-02-12T10:35:00+01:00,2026-02-12,FINISHED,Freestyle Skiing,FRS,Men's Moguls,0,Men's Moguls Qualifications,M,INDV,Livigno Aerials & Moguls Park,LAM,Livigno Aerials & Moguls Park-Moguls & Dual Moguls,LMO,FRSMMO----------------QUAL000200--
2026-02-12T10:00:00+01:00,2026-02-12T10:45:00+01:00,2026-02-12,FINISHED,Snowboard,SBD,Men's Snowboard Cross,0,Men's SBX Seeding,M,INDV,Livigno Snow Park,LSP,Livigno Snow Park-Cross,LSX,SBDMSBX---------------SEED000101--
2026-02-12T10:55:00+01:00,2026-02-12T11:20:00+01:00,2026-02-12,FINISHED,Snowboard,SBD,Men's Snowboard Cross,0,Men's SBX Seeding,M,INDV,Livigno Snow Park,LSP,Livigno Snow Park-Cross,LSX,SBDMSBX---------------SEED000102--
2026-02-12T11:08:00+01:00,2026-02-12T12:02:00+01:00,2026-02-12,FINISHED,Skeleton,SKN,Men,0,Men Competition,M,INDV,Cortina Sliding Centre,CSC,Cortina Sliding Centre,CSC,SKNMSINGLES-----------FNL-000200--
2026-02-12T11:30:00+01:00,2026-02-12T13:30:00+01:00,2026-02-12,FINISHED,Alpine Skiing,ALP,Women's Super-G,1,Women's Super-G,W,INDV,Tofane Alpine Skiing Centre,CAL,Tofane Alpine Skiing Centre,CAL,ALPWSG----------------FNL-000100--
2026-02-12T12:10:00+01:00,2026-02-12T14:40:00+01:00,2026-02-12,FINISHED,Ice Hockey,IHO,Men,0,Men's Preliminary Round - Group A,M,TEAM,Milano Santagiulia Ice Hockey Arena,MH1,Milano Santagiulia Ice Hockey Arena,MH1,IHOMTEAM6-------------GPA-000100--
2026-02-12T12:15:00+01:00,2026-02-12T12:50:00+01:00,2026-02-12,FINISHED,Freestyle Skiing,FRS,Men's Moguls,0,Men's Moguls Finals,M,INDV,Livigno Aerials & Moguls Park,LAM,Livigno Aerials & Moguls Park-Moguls & Dual Moguls,LMO,FRSMMO----------------FNL-000100--
2026-02-12T12:50:00+01:00,2026-02-12T13:46:00+01:00,2026-02-12,FINISHED,Bobsleigh,BOB,2-man,0,2-man Official Training,M,TEAM,Cortina Sliding Centre,CSC,Cortina Sliding Centre,CSC,BOBMTEAM2-------------TRNO000100--
2026-02-12T12:55:00+01:00,2026-02-12T13:11:00+01:00,2026-02-12,FINISHED,Freestyle Skiing,FRS,Men's Moguls,1,Men's Moguls Finals,M,INDV,Livigno Aerials & Moguls Park,LAM,Livigno Aerials & Moguls Park-Moguls & Dual Moguls,LMO,FRSMMO----------------FNL-000200--
2026-02-12T13:00:00+01:00,2026-02-12T14:35:00+01:00,2026-02-12,FINISHED,Cross-Country Skiing,CCS,Women's 10km Interval Start Free,1,Women's 10km Interval Start Free,W,INDV,Tesero Cross-Country Skiing Stadium,TCC,Tesero Cross-Country Skiing Stadium,TCC,CCSW10KMIS------------FNL-000100--
